,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
117,ECKHART (BERNARD),Eckhart (Bernard) Park,ChIJnxSh6NTSD4gRmUscZt442RU,4.4,554.0,1.0,,,
118,COLE (NAT KING),Nat King Cole Park,ChIJP_VWuqsoDogRAzinczSPau0,4.3,367.0,1.0,,,
119,COLUMBUS (CHRISTOPHER),Columbus Park,ChIJm0OikmYzDogRN0xOhf316WQ,4.3,987.0,1.0,,,
120,UNION,Union Park,ChIJOX-9ciUtDogRxlQoBqza5fs,4.4,1060.0,1.0,,,
121,SKINNER (MARK),Skinner (Mark) Park,ChIJyVSwayEtDogRgCCPqx7Qc1Q,4.6,628.0,0.0,,,
122,HALE (NATHAN),Hale (Nathan) Park,ChIJB2N5ndU2DogRquhYAOYcjFM,4.4,330.0,1.0,,,
123,SHEDD (JOHN G.),Shedd (John G.) Park,ChIJfUQkemcyDogRbeB2Ohb__e4,4.0,77.0,1.0,,,
124,HARRISON (CARTER),Harrison Park,ChIJHb39BQotDogR02ws8ypx_LQ,4.5,1338.0,1.0,,,
125,"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) Park",ChIJrUv3hMfSD4gRuiS9z5fg7x4,4.6,1026.0,1.0,,,
126,ARRIGO (VICTOR),Arrigo (Victor) Park,ChIJHU7dbx4tDogRBc4lMxM5XXc,4.6,454.0,1.0,,,
127,ELM,Elm Park,ChIJsdwLf2kpDogR0cStbuW5z4s,4.6,26.0,1.0,,,
128,DVORAK (ANTON),Dvorak (Anton) Park,ChIJr8B7w1UsDogR4_lUHwV2SxQ,4.5,374.0,1.0,,,
129,PULASKI (CASIMER),Pulaski (Casimer) Park,ChIJvYBDAdrSD4gRVbPvHF117Mc,4.4,212.0,1.0,,,
130,HUMBOLDT (BARON VON),Humboldt (Alexander Von) Park,ChIJHUq__lnND4gRMOu_iKieK30,4.7,3012.0,1.0,,,
131,WEST PULLMAN,West Pullman Park,ChIJi7bfDxEkDogRZL1ILal0Nhg,4.2,229.0,1.0,,,
132,MATHER (STEPHEN TYNG),Mather (Stephen Tyng) Park,ChIJqXu1QRzOD4gRn9MK1X8FY3k,4.4,262.0,1.0,,,
133,SENN (NICHOLAS),Senn (Nicholas) Park,ChIJ40imopDRD4gRP-onPzu6O9A,4.6,261.0,1.0,,,
134,HORNER (HENRY),Horner (Henry) Park,ChIJkSl-lArSD4gRFIS04bEWHIs,4.6,1576.0,1.0,,,
135,HIAWATHA,Hiawatha Park,ChIJ_5LFHlrKD4gRY3YnVGDeUM8,4.5,352.0,1.0,,,
136,PIOTROWSKI (LILLIAN),Piotrowski (Lillian) Park,ChIJVZOR9DYyDogRR1tDz44mDmw,4.2,753.0,1.0,,,
137,GRAPE,Grape Park,ChIJF-87Tn7ND4gRuOg6pPIfh5I,4.4,10.0,0.0,,,
138,ROSENBLUM (J. LESLIE),Rosenblum Park,ChIJrTIkPV8oDogRHNinAcFMmkY,4.2,178.0,1.0,,,
139,ECKERSALL (WALTER HERBERT),Eckersall (Walter Herbert) Park,ChIJr2jCDXIoDogRhDz8FA5b04M,4.2,113.0,1.0,,,
140,VITTUM (HARRIET ELIZABETH),Vittum (Harriet Elizabeth) Park,ChIJzZhbx20xDogR__M7H95uo4c,4.3,213.0,1.0,,,
141,SPRUCE,Spruce Park,ChIJixkolG0pDogRjIXDspoomj4,0.0,0.0,2.0,,,
142,OAKDALE,Oakdale Park,ChIJvSzu3JklDogRjCRSNWOYzA0,4.2,86.0,1.0,,,
143,ROBINSON (JACKIE),Jackie Robinson Park,ChIJa6NTDLIlDogRvVHLBXQZ5to,4.5,252.0,1.0,,,
144,OWENS (JESSE),Owens (Jesse) Park,ChIJKb-TYX8oDogRPlNLFG3m6qQ,4.4,345.0,0.0,,,
145,WENTWORTH (JOHN),Wentworth (John) Park,ChIJfxjzKT03DogRjXMZOrRosIA,4.5,58.0,1.0,,,
146,DAWES (CHARLES),Dawes (Charles G.) Park,ChIJHXY2CJIvDogR80aLs-k8_fU,4.2,134.0,1.0,,,
147,ROGERS (PHILLIP),Rogers (Phillip) Park,ChIJPxCq4dTRD4gRvSOXy_8pVRM,4.4,191.0,1.0,,,
148,HAYES (FRANCIS),Hayes (Francis) Park,ChIJM57e3P8vDogRIfNKZ3TaQT0,4.3,295.0,1.0,,,
149,LINDBLOM (ROBERT),Lindblom (Robert) Park,ChIJUwj_P0kuDogRrP5lLiN4hPc,4.4,156.0,1.0,,,
150,GATELY (JAMES),Dr. Conrad Worrill Track & Field Center,ChIJieJQO2kmDogRTozh7465P9k,4.4,569.0,1.0,,,
151,DUNHAM (ROBERT),Dunham (Robert) Park,ChIJiU77T_DLD4gRkaOhPga6ttM,4.4,351.0,1.0,,,
152,WEST LAWN,West Lawn Park,ChIJ022wR1IwDogRQ59oyl0JFyw,4.4,536.0,1.0,,,
153,TOUHY (PATRICK),Touhy Park,ChIJMyfHs7TRD4gRtGhvu0doCCw,4.2,297.0,1.0,,,
154,PASTEUR (LOUIS),Pasteur (Louis) Park,ChIJKX0hUa8xDogRlJKJTIM1xnM,4.4,456.0,1.0,,,
155,ROWAN (WILLIAM),Rowan (William) Park,ChIJGVs4xoLYEYgRi63rFHAbd4Q,4.3,163.0,1.0,,,
156,WEST CHATHAM,West Chatham Park,ChIJB3eOEFsvDogROhcRIF-j5Ks,4.1,150.0,1.0,,,
157,ARCHER (WILLIAM BEATTY),Archer (William Beatty) Park,ChIJO4rQy50xDogRk8JkYI2xtnQ,4.4,437.0,1.0,,,
158,EHRLER (WILLIAM),Ehrler (William) Park,ChIJZajYHZbSD4gRGNL_bZa3yJM,4.4,96.0,1.0,,,
159,MOUNT GREENWOOD,Mt. Greenwood Park,ChIJ-UtnZSM7DogRagQ69M3ty5w,4.5,463.0,1.0,,,
160,BEVERLY,Beverly Park,ChIJdQGKOjslDogRHkBoLZ7mirs,4.3,204.0,1.0,,,
161,CARVER (GEORGE WASHINGTON),Carver (George Washington) Park,ChIJhfeF2OIhDogRassOYseILGk,4.7,20.0,1.0,,,
162,MERRIMAC,Merrimac Park,ChIJofnTYKosDogR8iJhcHRo9oQ,4.5,318.0,1.0,,,
163,WILDWOOD,Wildwood Park,ChIJFcyF9S3JD4gRZsLuL8IFUvQ,4.5,92.0,1.0,,,
164,LINDEN,Linden Park,ChIJSS1tHzLND4gRXlYdHbTl_5w,0.0,0.0,2.0,,,
165,ABBOTT (ROBERT),Abbott (Robert) Park,ChIJvX8aF-ElDogRws8sWkRmL60,4.2,299.0,1.0,,,
166,KELLY (EDWARD),Kelly (Edward) Park,ChIJU7JtdP4tDogRT3BSG1bolbE,4.2,319.0,1.0,,,
167,WILLIAMS (DANIEL HALE),Williams (Daniel Hale) Park,ChIJ9Tni1HEsDogRm8v-P6ftVfY,4.2,35.0,1.0,,,
168,SCOTTSDALE,Scottsdale Park,ChIJpX-6R34wDogRJBGIECRGB-g,4.3,118.0,1.0,,,
169,STATEWAY,Park Boulevard,ChIJy4Ak2Q8sDogR49YRW8WtbTU,0.0,0.0,1.0,,,
170,DUNBAR (PAUL LAURENCE),Dunbar (Paul Laurence) Park,ChIJ7xd62XUsDogRbLUtrVdvEj4,4.5,570.0,1.0,,,
171,ADDAMS (JANE),Addams (Jane) Memorial Park,ChIJOeKUdVMrDogRmMZVEmCCSdE,4.5,224.0,1.0,,,
172,LAKE MEADOWS,Lake Meadows Park,ChIJlbo68IwrDogRCYSjylqMkuw,4.3,185.0,1.0,,,
173,BOGAN (WILLIAM),Bogan Park,ChIJvYxDzXMwDogRaJQRLsX9OwM,4.1,39.0,1.0,,,
174,TAYLOR (ROBERT ROCHON),Robert Taylor Park,ChIJN-5_va8uDogRp8H6FrAWthY,4.3,290.0,1.0,,,
