,name,place_id,rating,user_ratings_total,lat_g,lng_g
341,The Renaissance Bronzeville,ChIJfVcjnVMpDogR58fYRkkn8bk,4.2,499,41.8099248,-87.6161937
807,Atmosphere,ChIJlXdMHYbRD4gRxRDyWvBID1s,4.2,101,41.9796704,-87.6681349
323,Declan's Irish Pub,ChIJvUXnnkjTD4gRXgDxhUfj09U,4.2,389,41.9050321,-87.6346992
426,Sluggers World Class Sports Bar and Grill & Dueling Pianos,ChIJb1zKja3TD4gR3x9Jko7j4Yw,4.2,2008,41.94659559999999,-87.6562208
787,The Junction Pub,ChIJkRPfgsAsDogRFYEb7zBRRGo,4.2,107,41.8785106,-87.6385725
0,D.S. Tequila Company,ChIJXwatoq_TD4gRSy8BU4OWIqo,4.2,1187,41.9433522,-87.6495048
357,The Unforgettable Bar,ChIJAz8BOrTND4gRh1-DYyAjr1s,4.2,250,41.95375019999999,-87.7329711
88,Kelly's Tavern,ChIJ1w_CsZ8uDogRAP0pAS108zQ,4.2,103,41.8142688,-87.6406801
102,Caminos de Michoacan,ChIJn1yR26ctDogROZqDTPd8jiM,4.2,384,41.8548424,-87.66843539999999
35,Leader Bar,ChIJj9xhjozND4gRgLBh1IL7uvg,4.2,427,41.9541879,-87.7033518
16,Lakeside Bar,ChIJdbtSorkyDogReSUmm5neif4,4.2,60,41.88492249999999,-87.7136769
121,Redhead Piano Bar,ChIJIYRFg7IsDogRAW0zLguKL-A,4.2,1397,41.8934019,-87.6287308
9,Pint,ChIJH4VqW8fSD4gR1jcj1Hxp_bI,4.2,341,41.9096903,-87.6761233
8,Uptown Lounge,ChIJPdRpuCzSD4gR59UHznFVal8,4.2,506,41.969179,-87.659179
77,Two Zero Three Coffee Bar,ChIJkf7mdq8sDogR4lymjZg4G44,4.2,278,41.8858829,-87.626072
119,Dugans,ChIJD9S2QMMsDogRnACKzdLg6Ss,4.2,382,41.8796093,-87.6474205
118,The Sedgwick Stop,ChIJI_6-XT_TD4gREx74fQSjeNI,4.2,265,41.91149850000001,-87.6387352
3,The Brewery,ChIJS9wcW7DLD4gRYXLj1N2yZWI,4.2,118,41.950348,-87.80752
65,Innjoy Logan Square,ChIJsfAzl57SD4gRyTuzVmhZ5oA,4.2,348,41.9207379,-87.6940719
133,The Butcher’s Tap,ChIJA4BSDU7SD4gRNxKTxbp7k-g,4.3,699,41.9467867,-87.663725
498,LH Rooftop,ChIJYTTn_a4sDogRVVaRtalmGH4,4.3,2851,41.8877738,-87.6253083
449,Brando's Speakeasy,ChIJI0RHOr0sDogRLAa8Yfyy9a4,4.3,1664,41.8772764,-87.6291171
442,Ham Tree Inn,ChIJ07t51qnOD4gRFt0CSDwDiyI,4.3,58,41.9775436,-87.769218
453,Lark,ChIJD20e5K_TD4gRlrkMBeyG2l4,4.3,567,41.9448838,-87.6491223
466,Stereo Nightclub,ChIJ98xxjIXMD4gRq435JSTHyiI,4.3,497,41.9313783,-87.766989
263,The Aviary,ChIJ3e31ltAsDogRZ-NnsEKpkTg,4.3,1201,41.8865074,-87.6519833
467,New Line Tavern,ChIJS-H_g8gsDogREqE0ZhW6Z50,4.3,505,41.8859766,-87.6411552
